Plant_Code,Site,Treatment_Code,Black,julDate,Month,Day,BranchTempF(orig),BranchTempC
A01,A,51,1,55,Feb,24,81,27.2
A01,A,51,1,55,Feb,24,77,25
A01,A,51,1,55,Feb,24,76,24.4
A02,A,51,1,55,Feb,24,79,26.1
A02,A,51,1,55,Feb,24,79,26.1
A02,A,51,1,55,Feb,24,75,23.9
A03,A,51,1,55,Feb,24,79,26.1
A03,A,51,1,55,Feb,24,77,25
A03,A,51,1,55,Feb,24,76,24.4
A04,A,52,1,55,Feb,24,76,24.4
A04,A,52,1,55,Feb,24,73,22.8
A04,A,52,1,55,Feb,24,73,22.8
A05,A,52,1,55,Feb,24,79,26.1
A05,A,52,1,55,Feb,24,72,22.2
A05,A,52,1,55,Feb,24,72,22.2
A06,A,52,1,55,Feb,24,74,23.3
A06,A,52,1,55,Feb,24,72,22.2
A06,A,52,1,55,Feb,24,70,21.1
A07,A,53,0,55,Feb,24,78,25.6
A07,A,53,0,55,Feb,24,74,23.3
A07,A,53,0,55,Feb,24,70,21.1
A08,A,53,0,55,Feb,24,75,23.9
A08,A,53,0,55,Feb,24,72,22.2
A08,A,53,0,55,Feb,24,65,18.3
A09,A,53,0,55,Feb,24,69,20.6
A09,A,53,0,55,Feb,24,68,20
A09,A,53,0,55,Feb,24,67,19.4
A10,A,54,0,55,Feb,24,73,22.8
A10,A,54,0,55,Feb,24,70,21.1
A10,A,54,0,55,Feb,24,70,21.1
A11,A,54,0,55,Feb,24,78,25.6
A11,A,54,0,55,Feb,24,78,25.6
A11,A,54,0,55,Feb,24,77,25
A12,A,54,0,55,Feb,24,81,27.2
A12,A,54,0,55,Feb,24,77,25
A12,A,54,0,55,Feb,24,70,21.1
A13,A,55,1,55,Feb,24,76,24.4
A13,A,55,1,55,Feb,24,74,23.3
A13,A,55,1,55,Feb,24,68,20
A14,A,55,1,55,Feb,24,80,26.7
A14,A,55,1,55,Feb,24,73,22.8
A14,A,55,1,55,Feb,24,71,21.7
A15,A,55,1,55,Feb,24,77,25
A15,A,55,1,55,Feb,24,74,23.3
A15,A,55,1,55,Feb,24,73,22.8
A16,A,56,0,55,Feb,24,79,26.1
A16,A,56,0,55,Feb,24,75,23.9
A16,A,56,0,55,Feb,24,75,23.9
A17,A,56,0,55,Feb,24,81,27.2
A17,A,56,0,55,Feb,24,76,24.4
A17,A,56,0,55,Feb,24,74,23.3
A18,A,56,0,55,Feb,24,79,26.1
A18,A,56,0,55,Feb,24,79,26.1
A18,A,56,0,55,Feb,24,76,24.4
A19,A,57,1,55,Feb,24,76,24.4
A19,A,57,1,55,Feb,24,75,23.9
A19,A,57,1,55,Feb,24,75,23.9
A20,A,57,1,55,Feb,24,79,26.1
A20,A,57,1,55,Feb,24,77,25
A20,A,57,1,55,Feb,24,75,23.9
A21,A,57,1,55,Feb,24,72,22.2
A21,A,57,1,55,Feb,24,70,21.1
A21,A,57,1,55,Feb,24,69,20.6
C01,C,51,1,69,Mar,9,79,26.1
C01,C,51,1,69,Mar,9,78,25.6
C01,C,51,1,69,Mar,9,75,23.9
C02,C,51,1,69,Mar,9,80,26.7
C02,C,51,1,69,Mar,9,80,26.7
C02,C,51,1,69,Mar,9,79,26.1
C03,C,51,1,69,Mar,9,85,29.4
C03,C,51,1,69,Mar,9,83,28.3
C03,C,51,1,69,Mar,9,83,28.3
C04,C,52,1,69,Mar,9,86,30
C04,C,52,1,69,Mar,9,84,28.9
C04,C,52,1,69,Mar,9,82,27.8
C05,C,52,1,69,Mar,9,94,34.4
C05,C,52,1,69,Mar,9,79,26.1
C05,C,52,1,69,Mar,9,76,24.4
C06,C,52,1,69,Mar,9,84,28.9
C06,C,52,1,69,Mar,9,79,26.1
C06,C,52,1,69,Mar,9,77,25
C07,C,53,0,69,Mar,9,79,26.1
C07,C,53,0,69,Mar,9,75,23.9
C07,C,53,0,69,Mar,9,74,23.3
C08,C,53,0,69,Mar,9,78,25.6
C08,C,53,0,69,Mar,9,78,25.6
C08,C,53,0,69,Mar,9,73,22.8
C09,C,53,0,69,Mar,9,75,23.9
C09,C,53,0,69,Mar,9,73,22.8
C09,C,53,0,69,Mar,9,71,21.7
C10,C,54,0,69,Mar,9,83,28.3
C10,C,54,0,69,Mar,9,82,27.8
C10,C,54,0,69,Mar,9,79,26.1
C11,C,54,0,69,Mar,9,82,27.8
C11,C,54,0,69,Mar,9,79,26.1
C11,C,54,0,69,Mar,9,77,25
C12,C,54,0,69,Mar,9,89,31.7
C12,C,54,0,69,Mar,9,82,27.8
C12,C,54,0,69,Mar,9,79,26.1
C13,C,55,1,69,Mar,9,80,26.7
C13,C,55,1,69,Mar,9,74,23.3
C13,C,55,1,69,Mar,9,74,23.3
C14,C,55,1,69,Mar,9,78,25.6
C14,C,55,1,69,Mar,9,78,25.6
C14,C,55,1,69,Mar,9,77,25
C15,C,55,1,69,Mar,9,86,30
C15,C,55,1,69,Mar,9,82,27.8
C15,C,55,1,69,Mar,9,81,27.2
C16,C,56,0,69,Mar,9,87,30.6
C16,C,56,0,69,Mar,9,86,30
C16,C,56,0,69,Mar,9,85,29.4
C17,C,56,0,69,Mar,9,83,28.3
C17,C,56,0,69,Mar,9,79,26.1
C17,C,56,0,69,Mar,9,77,25
C18,C,56,0,69,Mar,9,82,27.8
C18,C,56,0,69,Mar,9,79,26.1
C18,C,56,0,69,Mar,9,76,24.4
C19,C,57,1,69,Mar,9,83,28.3
C19,C,57,1,69,Mar,9,83,28.3
C19,C,57,1,69,Mar,9,82,27.8
C20,C,57,1,69,Mar,9,84,28.9
C20,C,57,1,69,Mar,9,83,28.3
C20,C,57,1,69,Mar,9,76,24.4
C21,C,57,1,69,Mar,9,84,28.9
C21,C,57,1,69,Mar,9,77,25
C21,C,57,1,69,Mar,9,72,22.2
B01,B,51,1,75,Mar,15,71,21.7
B01,B,51,1,75,Mar,15,68,20
B01,B,51,1,75,Mar,15,68,20
B02,B,51,1,75,Mar,15,70,21.1
B02,B,51,1,75,Mar,15,69,20.6
B02,B,51,1,75,Mar,15,68,20
B03,B,51,1,75,Mar,15,69,20.6
B03,B,51,1,75,Mar,15,68,20
B03,B,51,1,75,Mar,15,68,20
B04,B,52,1,75,Mar,15,71,21.7
B04,B,52,1,75,Mar,15,71,21.7
B04,B,52,1,75,Mar,15,70,21.1
B05,B,52,1,75,Mar,15,70,21.1
B05,B,52,1,75,Mar,15,70,21.1
B05,B,52,1,75,Mar,15,69,20.6
B06,B,52,1,75,Mar,15,71,21.7
B06,B,52,1,75,Mar,15,68,20
B06,B,52,1,75,Mar,15,61,16.1
B07,B,53,0,75,Mar,15,72,22.2
B07,B,53,0,75,Mar,15,71,21.7
B07,B,53,0,75,Mar,15,70,21.1
B08,B,53,0,75,Mar,15,71,21.7
B08,B,53,0,75,Mar,15,70,21.1
B08,B,53,0,75,Mar,15,69,20.6
B09,B,53,0,75,Mar,15,71,21.7
B09,B,53,0,75,Mar,15,70,21.1
B09,B,53,0,75,Mar,15,70,21.1
B10,B,54,0,75,Mar,15,72,22.2
B10,B,54,0,75,Mar,15,70,21.1
B10,B,54,0,75,Mar,15,70,21.1
B11,B,54,0,75,Mar,15,69,20.6
B11,B,54,0,75,Mar,15,68,20
B11,B,54,0,75,Mar,15,67,19.4
B12,B,54,0,75,Mar,15,71,21.7
B12,B,54,0,75,Mar,15,71,21.7
B12,B,54,0,75,Mar,15,70,21.1
B13,B,55,1,75,Mar,15,73,22.8
B13,B,55,1,75,Mar,15,72,22.2
B13,B,55,1,75,Mar,15,71,21.7
B14,B,55,1,75,Mar,15,69,20.6
B14,B,55,1,75,Mar,15,68,20
B14,B,55,1,75,Mar,15,68,20
B15,B,55,1,75,Mar,15,73,22.8
B15,B,55,1,75,Mar,15,72,22.2
B15,B,55,1,75,Mar,15,71,21.7
B16,B,56,0,75,Mar,15,71,21.7
B16,B,56,0,75,Mar,15,71,21.7
B16,B,56,0,75,Mar,15,70,21.1
B17,B,56,0,75,Mar,15,70,21.1
B17,B,56,0,75,Mar,15,70,21.1
B17,B,56,0,75,Mar,15,70,21.1
B18,B,56,0,75,Mar,15,71,21.7
B18,B,56,0,75,Mar,15,71,21.7
B18,B,56,0,75,Mar,15,70,21.1
B19,B,57,1,75,Mar,15,68,20
B19,B,57,1,75,Mar,15,68,20
B19,B,57,1,75,Mar,15,68,20
B20,B,57,1,75,Mar,15,71,21.7
B20,B,57,1,75,Mar,15,70,21.1
B20,B,57,1,75,Mar,15,69,20.6
B21,B,57,1,75,Mar,15,69,20.6
B21,B,57,1,75,Mar,15,68,20
B21,B,57,1,75,Mar,15,68,20
A01,A,51,1,89,Mar,29,81,27.2
A01,A,51,1,89,Mar,29,75,23.9
A01,A,51,1,89,Mar,29,66,18.9
A02,A,51,1,89,Mar,29,75,23.9
A02,A,51,1,89,Mar,29,67,19.4
A02,A,51,1,89,Mar,29,65,18.3
A03,A,51,1,89,Mar,29,66,18.9
A03,A,51,1,89,Mar,29,65,18.3
A03,A,51,1,89,Mar,29,64,17.8
A04,A,52,1,89,Mar,29,70,21.1
A04,A,52,1,89,Mar,29,69,20.6
A04,A,52,1,89,Mar,29,65,18.3
A05,A,52,1,89,Mar,29,64,17.8
A05,A,52,1,89,Mar,29,59,15
A05,A,52,1,89,Mar,29,58,14.4
A06,A,52,1,89,Mar,29,72,22.2
A06,A,52,1,89,Mar,29,66,18.9
A06,A,52,1,89,Mar,29,63,17.2
A07,A,53,0,89,Mar,29,70,21.1
A07,A,53,0,89,Mar,29,69,20.6
A07,A,53,0,89,Mar,29,69,20.6
A08,A,53,0,89,Mar,29,56,13.3
A08,A,53,0,89,Mar,29,64,17.8
A08,A,53,0,89,Mar,29,56,13.3
A09,A,53,0,89,Mar,29,68,20
A09,A,53,0,89,Mar,29,62,16.7
A09,A,53,0,89,Mar,29,60,15.6
A10,A,54,0,89,Mar,29,67,19.4
A10,A,54,0,89,Mar,29,67,19.4
A10,A,54,0,89,Mar,29,65,18.3
A11,A,54,0,89,Mar,29,69,20.6
A11,A,54,0,89,Mar,29,68,20
A11,A,54,0,89,Mar,29,67,19.4
A12,A,54,0,89,Mar,29,71,21.7
A12,A,54,0,89,Mar,29,67,19.4
A12,A,54,0,89,Mar,29,66,18.9
